customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets6mo,Churn
CUST-10000,Male,0,No,No,22,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,54.71,1186.46,1,No
CUST-10001,Female,0,No,No,68,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.16,4101.45,0,No
CUST-10002,Male,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,98.64,2840.83,0,No
CUST-10003,Male,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),97.07,581.05,1,No
CUST-10004,Male,0,No,Yes,8,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),53.95,415.72,0,No
CUST-10005,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.13,1422.12,0,No
CUST-10006,Male,1,Yes,Yes,14,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),72.14,1003.24,0,No
CUST-10007,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.79,930.72,0,Yes
CUST-10008,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.54,4905.2,0,Yes
CUST-10009,Female,0,No,Yes,10,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,61.74,600.1,0,No
CUST-10010,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,83.65,2660.1,3,Yes
CUST-10011,Male,0,Yes,Yes,32,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.06,1742.06,0,Yes
CUST-10012,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),61.35,2740.98,2,Yes
CUST-10013,Male,0,Yes,No,9,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,61.99,561.51,1,No
CUST-10014,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.78,1099.74,1,Yes
CUST-10015,Male,0,Yes,No,14,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.21,829.41,3,Yes
CUST-10016,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.39,977.2,1,No
CUST-10017,Female,0,No,No,43,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,59.0,2540.39,0,No
CUST-10018,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.66,2157.96,2,No
CUST-10019,Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,635.29,0,No
CUST-10020,Female,0,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.42,114.23,0,No
CUST-10021,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.88,1573.42,2,No
CUST-10022,Female,0,No,Yes,65,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,81.73,5327.47,3,Yes
CUST-10023,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),88.17,6352.24,0,No
CUST-10024,Female,0,No,Yes,17,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.66,1433.43,0,Yes
CUST-10025,Female,0,Yes,No,46,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.3,4046.59,0,No
CUST-10026,Female,1,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.4,218.43,1,No
CUST-10027,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),70.1,433.64,2,Yes
CUST-10028,Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,73.65,488.01,0,Yes
CUST-10029,Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,86.63,5120.8,0,No
CUST-10030,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Mailed check,76.1,1361.83,0,No
CUST-10031,Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,95.4,1398.0,5,Yes
CUST-10032,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,79.87,3313.26,1,No
CUST-10033,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,84.24,557.64,1,No
CUST-10034,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.67,2240.48,5,No
CUST-10035,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.25,1726.26,0,No
CUST-10036,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,79.94,5759.2,3,No
CUST-10037,Male,1,No,No,17,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.41,1234.68,1,No
CUST-10038,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,81.2,1795.93,0,Yes
CUST-10039,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,104.92,0,No
CUST-10040,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.79,1328.9,0,Yes
CUST-10041,Male,1,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,286.56,1,No
CUST-10042,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,52.0,3699.96,2,No
CUST-10043,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,82.44,318.31,1,No
CUST-10044,Female,0,Yes,No,30,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),51.69,1541.0,1,No
CUST-10045,Female,0,Yes,No,72,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.36,5940.61,1,Yes
CUST-10046,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,77.43,1111.7,1,Yes
CUST-10047,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,501.57,1,Yes
CUST-10048,Female,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1067.94,3,No
CUST-10049,Female,0,No,No,18,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),53.12,992.23,1,No
CUST-10050,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),54.86,356.6,0,No
CUST-10051,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.54,450.59,0,No
CUST-10052,Male,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.22,875.68,1,No
CUST-10053,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,71.73,2134.75,0,Yes
CUST-10054,Male,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,82.89,3306.65,1,No
CUST-10055,Female,1,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,74.19,901.45,1,Yes
CUST-10056,Female,0,No,Yes,72,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.2,5545.89,1,No
CUST-10057,Male,0,Yes,No,12,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),54.72,641.11,0,No
CUST-10058,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,93.42,2414.75,0,No
CUST-10059,Male,1,Yes,No,31,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,80.39,2514.4,1,No
CUST-10060,Male,0,No,Yes,29,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.72,1745.14,2,Yes
CUST-10061,Male,0,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.66,213.62,3,No
CUST-10062,Male,0,No,Yes,61,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,58.47,3565.26,2,Yes
CUST-10063,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,78.13,1214.13,1,No
CUST-10064,Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,65.27,2156.02,3,No
CUST-10065,Female,0,Yes,No,29,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,80.29,2348.68,1,No
CUST-10066,Female,0,Yes,Yes,28,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.9,1870.99,1,Yes
CUST-10067,Male,1,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,90.99,443.43,0,No
CUST-10068,Female,0,Yes,Yes,14,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),53.43,726.38,1,Yes
